number,classification,id
1557,ICE,84/104383/18/19/80
1268,IC,84/103907/18/19/80
3524,IC,84/226296/18/19/80
722,IC,84/232271/18/19/80
1722,IC,84/221208/18/19/80
1722,IC,84/221206/18/19/80
876,ICE,84/111518/18/19/80
583,ICE,84/109539/18/19/80
429,IC,84/291144/18/19/80
1509,IC,84/272648/18/19/80
515,IC,84/229449/18/19/80
3117,IC,84/225348/18/19/80
1617,IC,84/221000/18/19/80
1520,IC,84/220319/18/19/80
1223,ICE,84/103846/18/19/80
1408,IC,84/272406/18/19/80
822,IC,84/233376/18/19/80
3625,IC,84/226669/18/19/80
1922,IC,84/221614/18/19/80
5721,IC,84/190840/18/19/80
543,ICE,84/109211/18/19/80
2378,IC,84/107572/18/19/80
5,ICE,84/108806/18/19/80
2376,IC,84/107544/18/19/80
1927,IC,84/105142/18/19/80
694,ICE,84/110569/18/19/80
377,ICE,84/108483/18/19/80
